Produttore,Vino,Media Grezza,Media Pesata,Prezzo,2019,2018,2017,2016,2015,2014,2013,2012,2011
Badia a Coltibuono,Chianti Classico Riserva Cultus Boni,4.0,3.0,25-29,sv,sv,4,4,5,sv,3,sv,sv
Badia a Coltibuono,Chianti Classico Riserva Badia a Coltibuono,3.8,3.1,25-29,sv,sv,4,5,4,sv,3,3,sv
Badia a Coltibuono,Chianti Classico Badia a Coltibuono,3.0,0.6,10-14,2,4,sv,sv,sv,sv,sv,sv,sv
Badia a Coltibuono,Chianti Classico Selezione RS,1.7,0.1,10-14,2,sv,sv,sv,2,1,sv,sv,sv
Badia a Coltibuono,Chianti Classico,2.7,0.4,10-14,sv,sv,sv,3,3,2,sv,sv,sv
Bertani Toscana,Chianti Classico Gran Selezione Salivolpe,3.3,0.9,25-29,sv,sv,3,4,3,sv,sv,sv,sv
Bertani Toscana,Chianti Classico Al Limite,2.5,0.3,15-19,sv,sv,2,3,sv,sv,sv,sv,sv
Bertani Toscana,Chianti Classico Riserva Monsenese,2.5,0.3,20-24,sv,sv,sv,2,3,sv,sv,sv,sv
Bibbiano,Chianti Classico Gran Selezione Vigna Del Capannino,4.8,5.0,50-54,sv,5,sv,5,5,4,5,sv,sv
Bibbiano,Chianti Classico Gran Selezione Vigna Del Montornello,3.3,0.9,50-54,sv,3,sv,sv,4,3,sv,sv,sv
Bibbiano,Chianti Classico Riserva,3.2,1.3,50-54,sv,3,3,4,3,3,sv,sv,sv
Bibbiano,Chianti Classico,2.4,0.6,20-24,2,3,2,2,3,sv,sv,sv,sv
Bibbiano,Chianti Classico Montornello Riserva,4.0,0.6,15-19,sv,sv,sv,sv,sv,sv,4,sv,sv
Bindi Sergardi,Chianti Classico Gran Selezione Mocenni 89,4.0,3.5,45-49,sv,sv,3,4,4,sv,5,4,sv
Bindi Sergardi,Chianti Classico Ser Gardo,3.0,0.6,15-19,sv,3,sv,3,3,sv,sv,sv,sv
Bindi Sergardi,Chianti Classico Riserva I Colli,3.0,0.4,20-24,sv,3,sv,sv,3,sv,sv,sv,sv
Bindi Sergardi,Chianti Classico La Ghirlanda,3.0,0.8,15-19,sv,3,3,3,3,sv,sv,sv,sv
Bindi Sergardi,Chianti Classico Tenuta Marcianella Presoni,3.0,0.2,10-14,sv,3,sv,sv,sv,sv,sv,sv,sv
Bindi Sergardi,Chianti Classico Calidonia Riserva,3.0,0.6,25-29,sv,sv,sv,3,3,3,sv,sv,sv
Borgo Salcetino,Chianti Classico Riserva Lucarello,3.5,1.5,20-24,sv,sv,3,4,4,sv,3,sv,sv
Borgo Salcetino,Chianti Classico Salcetino,2.5,0.3,15-19,sv,3,2,sv,sv,sv,sv,sv,sv
Borgo Salcetino,Chianti Classico Gran Selezione I Salci,3.0,0.4,35-39,sv,sv,sv,3,3,sv,sv,sv,sv
Borgo Salcetino,Chianti Classico,2.0,0.1,10-14,sv,sv,sv,sv,2,sv,sv,sv,sv
Capannelle,Chianti Classico Gran Selezione,3.7,2.0,60-64,sv,sv,sv,3,3,sv,5,sv,sv
Capannelle,Chianti Classico Riserva,2.8,1.1,30-34,sv,sv,2,2,3,3,4,sv,sv
Carpineto,Chianti Classico Riserva,2.5,0.3,15-19,sv,sv,2,sv,3,sv,sv,sv,sv
Carpineto,Chianti Classico,2.5,0.3,10-14,2,sv,3,sv,sv,sv,sv,sv,sv
Carpineto,Chianti Classico Gran Selezione,3.0,0.4,45-49,sv,sv,sv,3,3,sv,sv,sv,sv
Casa Emma,Chianti Classico Gran Selezione,3.6,2.8,50-54,sv,sv,5,3,4,sv,3,3,sv
Casa Emma,Chianti Classico Riserva Vignalparco,2.7,0.4,20-24,3,sv,sv,3,sv,sv,2,sv,sv
Casa Emma,Chianti Classico,2.6,0.9,20-24,3,4,2,sv,2,2,sv,sv,sv
Casa Emma,Chianti Classico Riserva,2.0,0.1,30-34,sv,sv,sv,2,sv,sv,2,sv,sv
Casale Dello Sparviero,Chianti Classico Gran Selezione Vigna Paronza,3.2,1.6,40-44,sv,3,sv,4,3,sv,4,2,sv
Casale Dello Sparviero,Chianti Classico Riserva,2.4,0.6,20-24,sv,3,sv,3,2,sv,2,2,sv
Casale Dello Sparviero,Chianti Classico,2.3,0.4,15-19,2,sv,3,2,2,sv,sv,sv,sv
Casale Dello Sparviero,Chianti Classico Gran Selezione Andrighetti,2.5,0.3,15-19,sv,sv,sv,sv,sv,sv,3,2,sv
Castellare Di Castellina,Chianti Classico Riserva Vigna Il Poggiale,3.0,1.4,25-29,sv,3,3,3,2,3,4,sv,sv
Castellare Di Castellina,Chianti Classico Riserva,2.8,1.0,20-24,sv,3,3,3,3,3,2,sv,sv
Castellare Di Castellina,Chianti Classico,2.3,0.6,15-19,3,3,2,2,2,2,sv,sv,sv
Castellinuzza,Chianti Classico Riserva,4.0,0.6,25-29,sv,sv,sv,4,sv,sv,sv,sv,sv
Castellinuzza,Chianti Classico Gran Selezione,3.0,0.2,35-39,sv,sv,sv,sv,3,sv,sv,sv,sv
Castellinuzza,Chianti Classico,2.0,0.1,15-19,sv,sv,2,sv,sv,sv,sv,sv,sv
Castello Di Ama,Chianti Classico Riserva Montebuoni,3.0,0.2,30-34,sv,3,sv,sv,sv,sv,sv,sv,sv
Castello Di Ama,Chianti Classico Gran Selezione San Lorenzo,3.2,1.3,40-44,sv,sv,3,3,3,4,3,sv,sv
Castello Di Ama,Chianti Classico Ama,2.5,0.8,20-24,3,3,2,2,3,2,sv,sv,sv
Castello Di Ama,Chianti Classico Gran Selezione Vigneto Bellavista,5.0,5.0,200-249,sv,sv,sv,5,5,sv,5,sv,sv
Castello Di Ama,Chianti Classico Gran Selezione Vigneto La Casuccia,4.0,2.4,200-249,sv,sv,sv,4,5,sv,3,sv,sv
Castello Di Albola,Chianti Classico Gran Selezione Santa Caterina,4.0,0.6,30-34,sv,4,sv,sv,sv,sv,sv,sv,sv
Castello Di Albola,Chianti Classico Riserva,3.0,0.2,20-24,sv,3,sv,sv,sv,sv,sv,sv,sv
Castello Di Albola,Chianti Classico,3.0,0.2,10-14,3,sv,sv,sv,sv,sv,sv,sv,sv
Castello Di Cacchiano,Chianti Classico,3.0,0.8,15-19,sv,sv,3,3,sv,sv,3,3,sv
Castello Di Cacchiano,Chianti Classico Gran Selezione Millennio,3.0,0.4,30-34,sv,sv,sv,sv,3,sv,3,sv,sv
Castello Di Cacchiano,Chianti Classico Riserva,3.0,0.4,25-29,sv,sv,sv,sv,3,sv,3,sv,sv
Castello di Fonterutoli,Chianti Classico Gran Selezione Vicoregio 36,3.5,0.7,55-59,sv,3,4,sv,sv,sv,sv,sv,sv
Castello di Fonterutoli,Chianti Classico Gran Selezione Badiola,3.5,0.7,55-59,sv,3,4,sv,sv,sv,sv,sv,sv
Castello di Fonterutoli,Chianti Classico Riserva Ser Lapo,2.2,0.5,15-19,sv,3,2,2,2,2,2,sv,sv
Castello di Fonterutoli,Chianti Classico Gran Selezione Castello di Fonterutoli,3.0,0.4,45-49,sv,3,3,sv,sv,sv,sv,sv,sv
Castello di Fonterutoli,Chianti Classico Fonterutoli,2.4,0.6,15-19,sv,2,2,2,3,3,sv,sv,sv
Castello di Fonterutoli,Chianti Classico Gran Selezione,3.0,0.6,40-44,sv,sv,sv,3,3,sv,3,sv,sv
Castello di Gabbiano,Chianti Classico Gran Selezione Cavaliere d'Oro Bellezza,3.5,1.7,30-34,sv,sv,2,4,4,sv,4,sv,sv
Castello di Gabbiano,Chianti Classico Riserva Cavaliere d'Oro,2.6,0.7,20-24,sv,2,2,3,3,3,sv,sv,sv
Castello di Gabbiano,Chianti Classico Cavaliere d'Oro,2.0,0.3,10-14,sv,2,2,2,2,sv,sv,sv,sv
Castello di Meleto,Chianti Classico Gran Selezione Vigna Poggiarso,4.0,0.6,45-49,sv,sv,4,sv,sv,sv,sv,sv,sv
Castello di Meleto,Chianti Classico Gran Selezione Vigna Casi,3.0,0.2,35-39,sv,sv,3,sv,sv,sv,sv,sv,sv
Castello di Meleto,Chianti Classico Riserva,3.0,0.4,20-24,sv,3,3,sv,sv,sv,sv,sv,sv
Castello di Meleto,Chianti Classico,2.2,0.5,15-19,2,3,2,2,2,sv,2,sv,sv
Castello di Meleto,Chianti Classico Riserva Vigna Casi,3.0,0.6,25-29,sv,sv,sv,3,3,3,sv,sv,sv
Castello di Meleto,Chianti Classico Riserva Vigna Poggiarso,3.0,0.2,25-29,sv,sv,sv,3,sv,sv,sv,sv,sv
Castello di Meleto,Chianti Classico 50Â° anniversario,3.0,0.2,25-29,sv,sv,sv,3,sv,sv,sv,sv,sv
Castello di Meleto,Chianti Classico Gran Selezione,3.3,0.9,35-39,sv,sv,sv,sv,3,sv,4,3,sv
Castello di Meleto,Chianti Classico Riserva Borgaio,2.0,0.1,15-19,sv,2,sv,sv,sv,sv,sv,sv,sv
Castello di Monsanto,Chianti Classico Gran Selezione Il Poggio,4.8,5.0,55-59,sv,sv,sv,5,5,4,5,5,5
Castello di Monsanto,Chianti Classico,2.3,0.6,15-19,3,3,2,2,2,2,sv,sv,sv
Castello di Monsanto,Chianti Classico Riserva,3.2,1.7,25-29,sv,3,4,4,3,3,2,sv,sv
Castello di Poppiano,Chianti Classico Riserva Belvedere Campoli,3.0,0.6,30-34,sv,3,sv,3,3,sv,sv,sv,sv
Castello di Poppiano,Chianti Classico Gran Selezione Il Tabernacolo,3.0,0.4,40-44,sv,sv,3,sv,3,sv,sv,sv,sv
Castello di Poppiano,Chianti Classico Belvedere Campoli,2.0,0.1,20-24,sv,sv,2,sv,sv,sv,sv,sv,sv
Castello di Querceto,Chianti Classico Gran Selezione La Corte,3.5,0.7,25-29,sv,3,4,sv,sv,sv,sv,sv,sv
Castello di Querceto,Chianti Classico Gran Selezione Il Picchio,2.6,0.7,25-29,sv,3,3,2,2,sv,3,sv,sv
Castello di Querceto,Chianti Classico Riserva,2.0,0.4,20-24,sv,2,2,2,2,2,2,sv,sv
Castello di Querceto,Chianti Classico,2.0,0.3,10-14,2,2,2,2,2,sv,sv,sv,sv
Castello di Radda,Chianti Classico Riserva,3.3,1.2,20-24,sv,sv,sv,4,4,2,sv,sv,sv
Castello di Radda,Chianti Classico,3.2,1.3,10-14,4,3,3,3,3,sv,sv,sv,sv
Castello di Radda,Chianti Classico Gran Selezione Il Corno,3.7,2.3,35-39,sv,sv,sv,sv,5,4,2,sv,sv
Castello di Volpaia,Chianti Classico Gran Selezione Coltassala,4.3,5.0,40-44,sv,4,5,4,4,sv,5,4,sv
Castello di Volpaia,Chianti Classico Gran Selezione Il Puro Vigneto Casanova,4.0,4.2,80-84,sv,sv,3,3,5,sv,4,5,sv
Castello di Volpaia,Chianti Classico Riserva Castello di Volpaia,3.0,1.4,25-29,sv,3,3,3,3,4,2,sv,sv
Castello di Volpaia,Chianti Classico Volpaia,2.3,0.6,15-19,3,2,2,2,3,2,sv,sv,sv
Castello la Leccia,Chianti Classico Riserva,3.4,2.4,25-29,sv,3,sv,5,3,3,sv,3,sv
Castello la Leccia,Chianti Classico Gran Selezione Bruciagna,3.0,0.6,40-44,sv,3,sv,sv,3,sv,3,sv,sv
Castello la Leccia,Chianti Classico,2.6,0.7,15-19,3,sv,3,2,2,sv,3,sv,sv
Castello Vicchiomaggio,Chianti Classico Gran Selezione La Prima,4.0,4.1,40-44,sv,sv,4,4,4,5,4,3,sv
Castello Vicchiomaggio,Chianti Classico Riserva Agostino Petri,2.8,1.0,25-29,sv,3,3,3,3,sv,3,2,sv
Castello Vicchiomaggio,Chianti Classico Guado Alto,2.5,0.5,15-19,3,3,2,2,sv,sv,sv,sv,sv
Castello Vicchiomaggio,Chianti Classico San Jacopo,2.7,0.4,15-19,sv,sv,3,sv,3,2,sv,sv,sv
Castello Vicchiomaggio,Chianti Classico Gran Selezione Le Bolle,4.0,0.6,85-89,sv,sv,sv,4,sv,sv,sv,sv,sv
Cecchi,Chianti Classico Gran Selezione Villa Rosa,4.8,5.0,40-44,sv,4,5,5,5,sv,sv,sv,sv
Cecchi,Chianti Classico Riserva Villa Cerna,2.8,1.0,30-34,sv,3,3,3,2,3,3,sv,sv
Cecchi,Chianti Classico Villa Rosa Ribaldoni,2.0,0.1,25-29,sv,sv,2,2,sv,sv,sv,sv,sv
Cecchi,Chianti Classico Villa Cerna Primocolle,2.5,0.3,15-19,sv,sv,sv,sv,3,2,sv,sv,sv
Cecchi,Chianti Classico Riserva Di Famiglia,3.0,0.2,25-29,sv,sv,sv,sv,sv,sv,3,sv,sv
Cinciano,Chianti Classico Gran Selezione,4.0,0.6,25-29,sv,sv,sv,4,sv,sv,sv,sv,sv
Cinciano,Chianti Classico Riserva,3.0,0.2,15-19,sv,sv,3,sv,sv,sv,sv,sv,sv
Cinciano,Chianti Classico,3.0,0.2,10-14,sv,3,sv,sv,sv,sv,sv,sv,sv
Cinciano,Chianti Classico Riserva Camponi,3.0,0.2,20-24,sv,sv,3,sv,sv,sv,sv,sv,sv
Dievole,Chianti Classico Riserva Novecento,2.8,0.8,25-29,sv,3,sv,3,3,3,2,sv,sv
Dievole,Chianti Classico Dievole,3.0,0.8,10-14,sv,3,sv,3,3,3,sv,sv,sv
Dievole,Chianti Classico Gran Selezione Vigna Di Sessina,3.0,0.6,40-44,sv,sv,sv,3,3,sv,sv,sv,3
Fattorie Casaloste,Chianti Classico Gran Selezione,3.0,0.8,40-44,sv,sv,sv,4,2,sv,sv,sv,3
Fattorie Casaloste,Chianti Classico Riserva,2.8,0.6,30-34,sv,sv,3,3,2,sv,sv,sv,3
Fattorie Casaloste,Chianti Classico,2.2,0.4,20-24,sv,3,2,2,2,2,sv,sv,sv
Fattorie Casaloste,Chianti Classico Gran Selezione Don Vincenzo,3.0,0.4,60-64,sv,sv,sv,sv,3,sv,3,sv,sv
Fattoria della Aiola,Chianti Classico Riserva,3.0,0.4,15-19,sv,sv,3,sv,3,sv,sv,sv,sv
Fattoria della Aiola,Chianti Classico Gran Selezione Cancello Rosso,3.0,0.2,25-29,sv,sv,3,sv,sv,sv,sv,sv,sv
Fattoria della Aiola,Chianti Classico,2.0,0.1,10-14,sv,2,sv,2,sv,sv,sv,sv,sv
Felsina,Chianti Classico Gran Selezione Colonia,4.5,4.4,85-89,sv,5,4,sv,sv,sv,4,sv,5
Felsina,Chianti Classico Riserva Rancia,3.6,2.8,30-34,sv,4,3,3,5,3,sv,sv,sv
Felsina,Chianti Classico Riserva Berardenga,2.6,0.7,20-24,sv,2,3,3,3,sv,2,sv,sv
Felsina,Chianti Classico Berardenga,2.6,0.7,15-19,sv,2,3,3,3,2,sv,sv,sv
