Produttore,Vino,Media Grezza,Prezzo,VScore,QP,2020,2019,2018,2017,2016,2015,2014,2013,2012
Castello Di Poppiano,Morellino Di Scansano Riserva Mandorlaia,3.0,30-34,7,3,sv,sv,3,sv,3,sv,sv,sv,sv
Castello Di Poppiano,Morellino Di Scansano Carbonile,2.0,10-14,2,3,sv,2,2,sv,sv,sv,sv,sv,sv
Castello Di Poppiano,Morellino Di Scansano I Massi,2.0,10-14,1,2,sv,sv,sv,2,sv,sv,sv,sv,sv
Fattoria Di Magliano,Morellino Di Scansano Heba,2.2,10-14,8,11,sv,2,3,2,2,2,sv,sv,sv
Fattoria Le Pupille,Morellino Di Scansano Riserva,3.0,15-19,20,20,sv,sv,3,3,3,3,3,3,sv
Fattoria Le Pupille,Morellino Di Scansano,2.7,10-14,15,22,3,2,2,3,3,sv,3,sv,sv
Fattoria Le Pupille,Morellino Di Scansano Riserva Poggio Valente,3.0,20-24,3,3,sv,sv,sv,sv,sv,sv,sv,sv,3
Fattoria Mantellassi,Morellino Di Scansano San Giuseppe,2.8,10-14,11,15,sv,3,3,2,3,sv,sv,sv,sv
Fattoria Mantellassi,Morellino Di Scansano Mago Di O3,2.4,10-14,11,15,3,3,3,2,1,sv,sv,sv,sv
Fattoria Mantellassi,Morellino Di Scansano Riserva Le Sentinelle,3.0,15-19,13,13,sv,3,sv,sv,3,sv,sv,3,3
Fattoria Mantellassi,Morellino Di Scansano Mentore,2.3,10-14,7,9,sv,3,2,2,2,sv,sv,sv,sv
Fattoria San Felo,Morellino Di Scansano Lampo,3.2,20-24,27,21,sv,4,3,4,3,2,sv,sv,sv
Fattoria San Felo,Morellino Di Scansano Riserva Dicioccatore,5.0,25-29,57,36,sv,sv,sv,sv,sv,sv,sv,5,5
Loacker Toscana,Morellino Di Scansano Poggio Marcone,2.3,15-19,5,5,sv,2,2,3,sv,sv,sv,sv,sv
Loacker Toscana,Morellino Di Scansano,2.0,10-14,1,2,sv,2,sv,sv,sv,sv,sv,sv,sv
Moris Farms,Morellino Di Scansano Riserva,3.5,20-24,26,20,sv,sv,sv,4,4,3,3,sv,sv
Moris Farms,Morellino Di Scansano,2.6,10-14,12,17,sv,3,3,3,2,2,sv,sv,sv
Podere 414,Morellino Di Scansano,4.0,15-19,100,100,sv,5,5,5,4,3,2,sv,sv
Poggio Argentiera,Morellino Di Scansano Bellamarsilia,2.0,10-14,2,3,2,2,sv,sv,sv,sv,sv,sv,sv
Roccapesta,Morellino Di Scansano Riserva Roccapesta,3.5,20-24,43,33,sv,sv,3,sv,4,5,sv,2,sv
Roccapesta,Morellino Di Scansano Roccapesta,2.3,15-19,7,7,sv,2,2,sv,sv,2,3,sv,sv
Roccapesta,Morellino Di Scansano Ribeo,1.8,10-14,3,5,sv,2,1,sv,sv,2,2,sv,sv
Roccapesta,Morellino Di Scansano Riserva Celestaia,3.3,30-34,16,9,sv,sv,sv,sv,3,4,sv,3,sv
Tenuta Sette Ponti,Morellino Di Scansano,2.0,10-14,2,3,2,2,sv,sv,sv,sv,sv,sv,sv
Terenzi,Morellino Di Scansano Riserva Madrechiesa,2.6,25-29,12,8,sv,sv,3,3,sv,3,2,sv,2
Terenzi,Morellino Di Scansano Riserva Purosangue,2.7,15-19,19,19,sv,sv,2,3,4,3,2,2,sv
Terenzi,Morellino Di Scansano,1.6,10-14,3,5,sv,2,2,2,1,1,sv,sv,sv
Poggio Argentiera,Morellino Di Scansano,2.0,10-14,3,5,sv,2,sv,sv,2,2,sv,sv,sv
Poggio Argentiera,Morellino Di Scansano Capatosta,3.0,20-24,3,3,sv,sv,sv,sv,sv,sv,sv,3,sv
Fattoria Dei Barbi,Morellino Di Scansano,1.3,10-14,1,2,sv,sv,2,sv,sv,1,1,sv,sv
Poggio Brigante,Morellino Di Scansano Arsura,3.0,20-24,13,10,sv,sv,3,3,3,3,sv,sv,sv
Poggio Brigante,Morellino Di Scansano Poggio Brigante,2.0,10-14,4,6,sv,2,2,2,2,sv,sv,sv,sv
Tenuta Belguardo,Morellino Di Scansano Riserva Bronzone,3.0,15-19,16,16,sv,sv,sv,3,3,3,3,3,sv
Cecchi,Morellino Di Scansano Poggio Al Leone Val Delle Rose,2.0,25-29,2,1,sv,sv,sv,2,2,sv,sv,sv,sv
Cecchi,Morellino Di Scansano,2.0,15-19,1,1,sv,sv,sv,sv,2,sv,sv,sv,sv
Cecchi,Morellino Di Scansano Poggio Al Leone,2.5,25-29,4,3,sv,sv,sv,sv,sv,3,sv,2,sv
Cecchi,Morellino Di Scansano Riserva Poggio Al Leone Val Delle Rose,3.0,25-29,3,2,sv,sv,sv,sv,sv,sv,sv,3,sv
Sensi,Morellino Di Scansano Pretorio,1.7,5-9,2,5,sv,2,2,sv,1,sv,sv,sv,sv
Rocca delle Macie,Morellino Di Scansano Campomaccione,1.5,10-14,2,3,sv,1,1,sv,2,2,sv,sv,sv
Castello Romitorio,Morellino Di Scansano Ghiaccio Forte,2.3,15-19,5,5,sv,sv,sv,2,3,2,sv,sv,sv
Castello Romitorio,Morellino Di Scansano Vigne Del Passero,2.0,15-19,1,1,sv,sv,sv,sv,sv,2,sv,sv,sv
La Mozza,Morellino Di Scansano I Perazzi,3.0,15-19,3,3,sv,sv,sv,sv,3,sv,sv,sv,sv
Terre Dell'Etruria,Morellino Di Scansano Giogo,3.0,15-19,10,10,sv,sv,3,sv,3,3,sv,sv,sv
Poliziano,Morellino Di Scansano Lohsa,3.0,10-14,3,5,sv,sv,sv,3,sv,sv,sv,sv,sv
Vignaioli Del Morellino Di Scansano,Morellino Di Scansano Vigna Benefizio,2.0,10-14,2,3,sv,sv,2,2,sv,sv,sv,sv,sv
Vignaioli Del Morellino Di Scansano,Morellino Di Scansano Roggiano Biologico,1.0,5-9,1,1,sv,sv,1,1,sv,sv,sv,sv,sv
Vignaioli Del Morellino Di Scansano,Morellino Di Scansano Riserva Sicomoro,3.0,15-19,7,7,sv,sv,sv,sv,3,3,sv,sv,sv
Vignaioli Del Morellino Di Scansano,Morellino Di Scansano Roggiano,1.5,5-9,1,3,sv,sv,2,1,sv,sv,sv,sv,sv
Vignaioli Del Morellino Di Scansano,Morellino Di Scansano Riserva Roggiano,2.0,10-14,1,2,sv,sv,sv,sv,sv,2,sv,sv,sv
Guicciardini Strozzi,Morellino Di Scansano Titolato Strozzi,1.8,10-14,3,5,sv,sv,2,2,1,2,sv,sv,sv
Santa Lucia,Morellino Di Scansano A Luciano,1.0,5-9,1,1,sv,sv,sv,1,1,sv,sv,sv,sv
Santa Lucia,Morellino Di Scansano Tore Del Moro,3.0,5-9,7,16,sv,sv,sv,sv,3,3,sv,sv,sv
Santa Lucia,Morellino Di Scansano Riserva Tore Del Moro,3.0,15-19,3,3,sv,sv,sv,sv,sv,3,sv,sv,sv
Villa Poggio Salvi,Morellino Di Scansano Vaio,2.0,10-14,2,3,sv,sv,sv,sv,2,2,sv,sv,sv
Frescobaldi,Morellino Di Scansano Riserva Pietraregia,2.5,15-19,4,4,sv,sv,sv,sv,sv,sv,2,sv,3
Borgo Scopeto E Caparzo,Morellino Di Scansano Doga Delle Clavule,2.0,10-14,1,2,sv,sv,sv,sv,sv,sv,2,sv,sv
Massi Di Mandorlaia,Morellino Di Scansano I Massi,2.0,15-19,1,1,sv,sv,sv,sv,sv,sv,2,sv,sv
Massi Di Mandorlaia,Morellino Di Scansano Riserva,3.0,25-29,3,2,sv,sv,sv,sv,sv,sv,sv,3,sv
